口座,サンプル銀行 本店営業部 普通 1234567
口座名義,ｶ)ｻﾝﾌﾟﾙｿﾌﾄ
照会期間,2026/09/01～2026/10/30
取引日,お取引内容,お引出金額,お預入金額,振込依頼人名,残高
2026/09/01,利息,,3,,1000003
2026/09/10,振込,,110000,ｻﾝﾌﾟﾙｼﾖｳｼﾞ,1110003
2026/09/15,振込,,54560,ｶ)ﾔﾏﾀﾞｼﾖｳｼﾞ,1164563
2026/09/18,口座振替 ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ,18420,,,1146143
2026/09/25,振込,,88000,ﾔﾏﾀﾞ ﾀﾛｳ,1234143
2026/09/30,振込,,55000,ﾃｽﾄｺｳｷﾞﾖｳ,1289143
2026/10/05,口座振替 ｻﾝﾌﾟﾙｸﾗｳﾄﾞ,39600,,,1249543
2026/10/15,振込,,44000,ｼﾖｳﾋﾝ ﾀﾞｲｷﾝ,1293543
2026/10/28,振込,,12345,ｶ)ﾌﾒｲ,1305888
2026/10/29,振込,,30000,ﾃｽﾄｺｳｷﾞﾖｳ,1335888
2026/10/30,振込,,88000,ﾔﾏﾀﾞ ﾀﾛｳ,1423888
